category,name,_id,base,bin,Info,type,exp,city,state,country,zip,bank,refundable
Cards,Credit Card,1,2024_10_17_US_26RG_PROVIDE_001-353-421-0823x2947,520041,PLATINUM,DEBIT,Aug-29,Port Bonnieside,NY,US,90768,WELLS FARGO,1
Cards,Credit Card,2,2024_09_01_US_69JH_SUMMER_001-547-656-2146x44804,410039,PLATINUM,DEBIT,Mar-25,Jacobsonhaven,WA,US,37854,CHASE BANK,1
Cards,Credit Card,3,2024_08_25_US_31UY_FINAL_001-762-807-0373x31893,520041,CLASSIC,DEBIT,Feb-24,West Jenniferfurt,TX,US,61362,BANK OF AMERICA,1
Cards,Credit Card,4,2024_02_11_US_95UL_BELIEVE_+1-501-803-4285x879,410039,PLATINUM,CREDIT,Apr-27,Seanbury,NY,US,59149,BANK OF AMERICA,1
Cards,Credit Card,5,2024_02_14_US_54JQ_WHO_(432)447-4624,630042,PLATINUM,CREDIT,Jan-23,Vanessaland,NY,US,70900,BANK OF AMERICA,1
Cards,Credit Card,6,2024_02_19_US_12HB_SPORT_9305807231,630042,CLASSIC,CREDIT,Mar-29,Saundersfurt,WA,US,47367,"CITIBANK, N.A.",1
Cards,Credit Card,7,2024_07_01_US_16XX_DEMOCRATIC_(616)229-5131,410039,GOLD,CREDIT,Nov-28,New Kathleen,WA,US,52611,"CITIBANK, N.A.",1
Cards,Credit Card,8,2024_02_12_US_43MJ_ANY_001-856-674-4083x61585,410039,PLATINUM,DEBIT,Jan-28,Sanderstown,FL,US,35683,WELLS FARGO,1
Cards,Credit Card,9,2024_01_08_US_10FY_STILL_300-685-6193x5481,410039,CLASSIC,CREDIT,Feb-24,South Austin,CA,US,38397,BANK OF AMERICA,1
Cards,Credit Card,10,2024_11_20_US_61SQ_NORTH_699-331-6113x13567,410039,CLASSIC,DEBIT,Jan-30,Port Jennifermouth,CA,US,37759,WELLS FARGO,0
Cards,Credit Card,11,2024_04_11_US_78XQ_KEY_663-344-7863x568,630042,GOLD,DEBIT,Apr-28,New Shanefort,WA,US,27316,BANK OF AMERICA,0
Cards,Credit Card,12,2024_06_18_US_13DC_FAR_001-409-871-7528x035,520041,CLASSIC,CREDIT,Nov-30,Wustad,NY,US,73116,BANK OF AMERICA,1
Cards,Credit Card,13,2024_05_26_US_29YV_PLAN_+1-491-310-0333x20534,410039,GOLD,CREDIT,Apr-25,Grayfurt,WA,US,62215,"CITIBANK, N.A.",1
Cards,Credit Card,14,2024_05_11_US_95YO_DIRECTOR_9612499806,630042,CLASSIC,CREDIT,Mar-29,North Allisonchester,WA,US,81343,"CITIBANK, N.A.",0
Cards,Credit Card,15,2024_07_30_US_56NP_DEVELOPMENT_+1-995-386-1725x019,410039,GOLD,DEBIT,Mar-30,Lake Barbarastad,TX,US,01752,WELLS FARGO,0
Cards,Credit Card,16,2024_03_21_US_22CR_TO_701.717.6845x716,630042,CLASSIC,CREDIT,May-30,East Aaron,FL,US,85830,"CITIBANK, N.A.",0
Cards,Credit Card,17,2024_05_26_US_84NE_EVEN_929.309.8258x0572,630042,GOLD,CREDIT,Dec-25,New Robertstad,TX,US,59296,CHASE BANK,1
Cards,Credit Card,18,2024_11_18_US_34VB_REPUBLICAN_001-955-825-7774,520041,GOLD,CREDIT,Jan-24,Adamsberg,NY,US,80866,CHASE BANK,1
Cards,Credit Card,19,2024_04_15_US_05FY_DOCTOR_404-666-0305x2731,520041,PLATINUM,DEBIT,Jul-25,Anitahaven,TX,US,53704,CHASE BANK,1
Cards,Credit Card,20,2024_05_19_US_59QA_RADIO_287.891.9704x79198,410039,GOLD,DEBIT,Oct-26,Port Teresaville,TX,US,12170,CHASE BANK,0
